model_id,task_id,score,reported_by,url,notes
qwen3-vl-2b-thinking,chartqa,86.6,Qwen,https://arxiv.org/pdf/2511.21631,Test
qwen3-vl-4b,chartqa,84.6,Qwen,https://arxiv.org/pdf/2511.21631,Test
qwen3-vl-4b-thinking,chartqa,88.8,Qwen,https://arxiv.org/pdf/2511.21631,Test
qwen3-vl-8b,chartqa,89.6,Qwen,https://arxiv.org/pdf/2511.21631,Test
qwen3-vl-8b-thinking,chartqa,88.6,Qwen,https://arxiv.org/pdf/2511.21631,Test
qwen3-vl-2b,zerobench,0,Qwen,https://arxiv.org/pdf/2511.21631,
qwen3-vl-2b-thinking,zerobench,0,Qwen,https://arxiv.org/pdf/2511.21631,
qwen3-vl-4b,zerobench,0,Qwen,https://arxiv.org/pdf/2511.21631,
qwen3-vl-4b-thinking,zerobench,0,Qwen,https://arxiv.org/pdf/2511.21631,
qwen3-vl-8b,zerobench,1,Qwen,https://arxiv.org/pdf/2511.21631,
qwen3-vl-8b-thinking,zerobench,2,Qwen,https://arxiv.org/pdf/2511.21631,
molmo2-4b,chartqa,86.1,Allen Institute for AI,http://arxiv.org/pdf/2601.10611,
molmo2-4b,docvqa,87.8,Allen Institute for AI,http://arxiv.org/pdf/2601.10611,
molmo2-4b,infovqa,78.6,Allen Institute for AI,http://arxiv.org/pdf/2601.10611,
molmo2-4b,textvqa,85.0,Allen Institute for AI,http://arxiv.org/pdf/2601.10611,
molmo2-4b,vqav2,86.6,Allen Institute for AI,http://arxiv.org/pdf/2601.10611,
molmo2-4b,rwqa,75.4,Allen Institute for AI,http://arxiv.org/pdf/2601.10611,
molmo2-4b,mmmu,50.9,Allen Institute for AI,http://arxiv.org/pdf/2601.10611,
molmo2-4b,mathvista,56.7,Allen Institute for AI,http://arxiv.org/pdf/2601.10611,
molmo2-4b,blink,57.5,Allen Institute for AI,http://arxiv.org/pdf/2601.10611,
internvl3.5-4b,chartqa,86.0,Allen Institute for AI,http://arxiv.org/pdf/2601.10611,
internvl3.5-4b,docvqa,92.4,Allen Institute for AI,http://arxiv.org/pdf/2601.10611,
internvl3.5-4b,infovqa,78.0,Allen Institute for AI,http://arxiv.org/pdf/2601.10611,
internvl3.5-4b,textvqa,77.9,Allen Institute for AI,http://arxiv.org/pdf/2601.10611,
internvl3.5-4b,vqav2,78.1,Allen Institute for AI,http://arxiv.org/pdf/2601.10611,
internvl3.5-4b,rwqa,66.3,Allen Institute for AI,http://arxiv.org/pdf/2601.10611,
internvl3.5-4b,mmmu,66.6,Allen Institute for AI,http://arxiv.org/pdf/2601.10611,
internvl3.5-4b,mathvista,77.1,Allen Institute for AI,http://arxiv.org/pdf/2601.10611,
internvl3.5-4b,blink,58.1,Allen Institute for AI,http://arxiv.org/pdf/2601.10611,
internvl3.5-8b,chartqa,86.7,Allen Institute for AI,http://arxiv.org/pdf/2601.10611,
internvl3.5-8b,docvqa,92.3,Allen Institute for AI,http://arxiv.org/pdf/2601.10611,
internvl3.5-8b,infovqa,79.1,Allen Institute for AI,http://arxiv.org/pdf/2601.10611,
internvl3.5-8b,textvqa,78.2,Allen Institute for AI,http://arxiv.org/pdf/2601.10611,
internvl3.5-8b,vqav2,79.5,Allen Institute for AI,http://arxiv.org/pdf/2601.10611,
internvl3.5-8b,rwqa,67.5,Allen Institute for AI,http://arxiv.org/pdf/2601.10611,
internvl3.5-8b,mmmu,73.4,Allen Institute for AI,http://arxiv.org/pdf/2601.10611,
internvl3.5-8b,mathvista,78.4,Allen Institute for AI,http://arxiv.org/pdf/2601.10611,
internvl3.5-8b,blink,59.5,Allen Institute for AI,http://arxiv.org/pdf/2601.10611,
qwen3-vl-4b,chartqa,84.6,Allen Institute for AI,http://arxiv.org/pdf/2601.10611,
qwen3-vl-4b,docvqa,95.3,Allen Institute for AI,http://arxiv.org/pdf/2601.10611,
qwen3-vl-4b,infovqa,80.3,Allen Institute for AI,http://arxiv.org/pdf/2601.10611,
qwen3-vl-4b,textvqa,81.0,Allen Institute for AI,http://arxiv.org/pdf/2601.10611,
qwen3-vl-4b,vqav2,81.7,Allen Institute for AI,http://arxiv.org/pdf/2601.10611,
qwen3-vl-4b,rwqa,70.9,Allen Institute for AI,http://arxiv.org/pdf/2601.10611,
qwen3-vl-4b,mmmu,67.4,Allen Institute for AI,http://arxiv.org/pdf/2601.10611,
